시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
부산광역시,동래구,부산광역시 동래구 중앙대로 1393 (온천동),롯데마트 동래점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.2120818,129.0775199"
부산광역시,중구,부산광역시 중구 중앙대로2 (중앙동7가),롯데마트 광복점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.097858,129.036146"
경상남도,거제시,경상남도 거제시 서간도길 9-9 (옥포동),롯데마트 거제점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"34.888448,128.691064"
경상남도,창원시,경상남도 창원시 의창구 원이대로 320 (두대동),롯데마트 시티세븐점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.2399857,128.6536139"
경상남도,창원시,경상남도 창원시 의창구 원이대로 320 (두대동),롯데마트 시티세븐점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.2399857,128.6536139"
경상남도,창원시,경상남도 창원시 마산회원구 삼호로 80 (양덕동),롯데마트 양덕점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.223311,128.585287"
부산광역시,강서구,부산광역시 강서구 공항진입로 108,김해공항,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.1729234,128.9491172"
부산광역시,강서구,부산광역시 강서구 공항진입로 108,김해공항,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.1729234,128.9491172"
대구광역시,달서구,대구광역시 달서구 대곡동 1035,대구지방합동청사,공공시설,지자체시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.8041984,128.5166757"
대구광역시,달성군,대구광역시 달성군 가창면 가창로607-2,㈜정방,상업시설,카페,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.767508,128.648903"
경상북도,경산시,경상북도 경산시 진량읍 공단로 299,신공단주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.858188024,128.82018737"
경상북도,경주시,경상북도 경주시 외동읍 산업로 2759,현대LPG행복충전소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.756611,129.314047"
경상북도,상주시,경상북도 상주시 계산동 189-6,아리랑 주유소(상주시),상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.42832,128.172943"
경상북도,상주시,경상북도 상주시 함창로581번지 ,승춘에너지,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.57862600,128.19132700"
경상북도,상주시,경상북도 상주시 화남면 문장로758,대동주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.4806531,127.93259050"
경상북도,상주시,경상북도 상주시 영남제일로1950,S-oil LPG 상주충전소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.41527570,128.13201360"
경상북도,상주시,경상북도 상주시 영남제일로 1273,SK SnS 만남주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.41811780,128.20078070"
경상북도,상주시,경상북도 상주시 영남 제일로 1339,상산주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.418211,128.193527"
경상북도,안동시,경상북도 안동시 상아동 266-2,카페에비뉴 220,상업시설,카페,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.58986190,128.74220850"
경상북도,영덕군,경상북도 영덕군 병곡면 병곡리 360번지,휴네스트,상업시설,숙박시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.60902390,129.41344410"
경상북도,구미시,경상북도 구미시 오태동659-13,구미 아리랑 주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.077883,128.352893"
경상북도,예천군,경상북도 예천군 보문면 오암리 584-1,퍼빌무인텔(토담),상업시설,숙박시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.66537230,128.52695780"
경상북도,의성군,경상북도 의성군 안계면 서부로1783,공단주유소LPG충전소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.39144230,128.43155070"
경상북도,포항시,경상북도 포항시 남구 지곡로 83,포항공과대학교 포스빌 6동주차장,교육문화시설,학교,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.014232,129.325094"
경상북도,포항시,경상북도 포항시 북구 흥해읍 초곡길36번길 30,선린대학교,교육문화시설,학교,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.0898852,129.3347437"
경상북도,경주시,경상북도 경주시 천북남로 12(신평동),경주국립공원사무소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.843844,129.289554"
경상북도,경주시,경상북도 경주시 천북남로 12(신평동),경주국립공원사무소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.843844,129.289554"
경상북도,영천시,경상북도 영천시 금호읍 덕성리 44-1,금호농협클린주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.925036,128.878147"
경상북도,영천시,경상북도 영천시 금호읍 교대리74,경북주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.9354070,128.8731480"
